yearmonth,banner,category,brand,segment,pri_sales_tons,packgroup,sec_sales_tons,dp_name_under_invest_promotion,invest_sum_promotion,duration_invest_mean_promotion,dp_name_under_invest_media,invest_sum_media,duration_invest_mean_media,promo_in_month,media_in_month,pri_sales_tons_MA,history_correction,outlier_corrected_data,Insample Forecast,Actual Sales(Corrected),no_of_working_days,massive,ocd,ps_v2,ps_v3,packgroup_tdp,visibility,Error_reg
202402,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.083763801,SINGLE PACKMULTI PACK,0,0,0,0,0,0,0,11417714.29,0,0.0781198,0.083763801,0.083763801,0.025703332,0.025703332,19,0,0,0,0,0,0,0.058060469
202403,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.068904002,MULTI PACK,0,0,0,0,0,0,0,12205142.86,0,0.076599534,0.076599534,0.076599534,0.025703332,0.025703332,26,0,0,0,0,0,0,0.050896202
202404,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.046458001,MULTI PACKSINGLE PACK,0,0,0,0,0,0,0,0,0,0.066375268,0.066375268,0.066375268,0.025703332,0.025703332,24,0,0,0,0,0,0,0.040671936
202405,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.066816001,MULTI PACKSINGLE PACK,0,0,0,0,0,0,0,0,0,0.060726001,0.066816001,0.066816001,0.025703332,0.025703332,26,0,0,0,0,0,0,0.041112669
202406,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.064728002,SINGLE PACKMULTI PACK,0,1,4648140,17,0,0,0,4648140,0,0.059334001,0.064728002,0.064728002,0.025703332,0.025703332,25,0,0,0,0,0,0,0.03902467
202407,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.041760001,MULTI PACKSINGLE PACK,0,0,0,0,0,0,0,0,0,0.057768001,0.057768001,0.057768001,0.025703332,0.025703332,27,0,0,0,0,0,0,0.032064669
202408,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.070992002,SINGLE PACKMULTI PACK,0,1,17196480,35,0,0,0,15231168,0,0.059160002,0.070992002,0.070992002,0.025703332,0.025703332,27,0,0,0,0,0,0,0.04528867
202409,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.050112001,SINGLE PACKMULTI PACK,0,1,57084000,42.5,0,0,0,42259900.24,0,0.054288001,0.054288001,0.054288001,0.025703332,0.025703332,23,0,0,0,0,0,0,0.028584669
202410,AEON,ORAL,CLOSEUP,TOOTHBRUSH,0.092916003,MULTI PACKSINGLE PACK,0,1,36255530,66.5,0,0,0,33690485.9,0,0.071340002,0.092916003,0.092916003,0.025703332,0.025703332,27,0,0,0,0,0,0,0.067212671
202101,AEON,ORAL,CLOSEUP,TOOTHPASTE,11.95967965,SMALL PACKMEDIUM PACKBIG PACK,0,0,0,0,0,0,0,0,0,11.95967965,11.95967965,8.041459111,0,6.979189651,25,0,0,0,0,0,0,8.041459111
202102,AEON,ORAL,CLOSEUP,TOOTHPASTE,3.219479908,MEDIUM PACKSMALL PACKBIG PACK,0,0,0,0,0,0,0,0,0,7.589579777,3.219479908,3.219479908,0,3.219479908,19,0,0,0,0,0,0,3.219479908
202103,AEON,ORAL,CLOSEUP,TOOTHPASTE,5.654759838,MEDIUM PACKSMALL PACKBIG PACK,0,0,0,0,0,0,0,0,0,6.944639797,5.654759838,5.654759838,5.284476466,5.654759838,27,0,0,0,0,0,0,0.370283372
202104,AEON,ORAL,CLOSEUP,TOOTHPASTE,8.322599747,BIG PACKSMALL PACKMEDIUM PACK,0,0,0,0,0,0,0,0,0,5.732279831,8.322599747,8.041459111,5.284476466,6.979189651,24,0,0,0,0,0,0,2.756982645
202105,AEON,ORAL,CLOSEUP,TOOTHPASTE,2.354759937,MEDIUM PACKSMALL PACKBIG PACK,0,0,0,0,0,0,0,0,0,5.444039841,2.354759937,2.354759937,5.121353766,2.73011181,25,0,0,0,0,0,0,-2.766593829
202106,AEON,ORAL,CLOSEUP,TOOTHPASTE,6.133199814,SMALL PACKMEDIUM PACKBIG PACK,0,0,0,0,0,0,0,0,0,5.603519833,6.133199814,6.133199814,5.280833758,6.133199814,26,0,0,0,0,0,0,0.852366056
202107,AEON,ORAL,CLOSEUP,TOOTHPASTE,6.077639834,SMALL PACKBIG PACKMEDIUM PACK,0,0,0,0,0,0,0,0,0,4.855199862,6.077639834,6.077639834,4.980317153,6.077639834,27,0,0,0,0,0,0,1.097322681
202108,AEON,ORAL,CLOSEUP,TOOTHPASTE,3.065999914,BIG PACKMEDIUM PACKSMALL PACK,0,0,0,0,0,0,0,0,0,5.092279854,3.065999914,3.065999914,5.092279854,3.065999914,26,0,0,0,0,0,0,-2.02627994
202109,AEON,ORAL,CLOSEUP,TOOTHPASTE,4.627319869,BIG PACKSMALL PACKMEDIUM PACK,0,0,0,0,0,0,0,0,0,4.590319872,4.627319869,4.627319869,4.590319872,4.627319869,25,0,0,0,0,0,0,0.036999997
202110,AEON,ORAL,CLOSEUP,TOOTHPASTE,4.177799881,MEDIUM PACKSMALL PACKBIG PACK,0,0,0,0,0,0,0,0,0,3.957039888,4.177799881,4.177799881,3.957039888,4.177799881,26,0,0,0,0,0,0,0.220759993
202111,AEON,ORAL,CLOSEUP,TOOTHPASTE,5.767559829,SMALL PACKBIG PACKMEDIUM PACK,0,0,0,0,0,0,0,0,0,4.85755986,5.767559829,5.767559829,4.85755986,5.767559829,26,0,0,0,0,0,0,0.909999969
202112,AEON,ORAL,CLOSEUP,TOOTHPASTE,5.508839843,MEDIUM PACKSMALL PACKBIG PACK,0,0,0,0,0,0,0,0,0,5.151399851,5.508839843,5.508839843,5.151399851,5.508839843,27,0,0,0,0,0,0,0.357439992
202201,AEON,ORAL,CLOSEUP,TOOTHPASTE,4.660559883,SMALL PACKBIG PACKMEDIUM PACK,0,11,692078664,73.5,0,0,0,536035912.3,0,5.312319852,4.660559883,4.660559883,5.312319852,4.660559883,22,0,0,0,0,0,0,-0.651759969
202202,AEON,ORAL,CLOSEUP,TOOTHPASTE,2.906999917,MEDIUM PACKBIG PACKSMALL PACK,0,5,73723456,74,0,0,0,211833475.2,0,4.358799881,2.906999917,2.906999917,4.358799881,2.906999917,19,0,0,0,0,0,0,-1.451799964
202203,AEON,ORAL,CLOSEUP,TOOTHPASTE,5.223869845,BIG PACKSMALL PACKMEDIUM PACK,0,12,120376462.9,82.91428571,0,0,0,129457807.5,0,4.263809882,5.223869845,5.223869845,4.263809882,5.223869845,27,0,0,0,0,0,0,0.960059963
202204,AEON,ORAL,CLOSEUP,TOOTHPASTE,4.398959885,MEDIUM PACKSMALL PACKBIG PACK,0,11,292739102.4,133.875,0,0,0,98838841.56,0,4.176609882,4.398959885,4.398959885,4.176609882,4.398959885,24,0,0,0,0,0,0,0.222350003
202205,AEON,ORAL,CLOSEUP,TOOTHPASTE,3.538409906,MEDIUM PACKBIG PACKSMALL PACK,0,10,124222980,70,0,0,0,181551543,0,4.387079879,3.538409906,3.538409906,4.387079879,3.538409906,25,0,0,0,0,0,0,-0.848669973
202206,AEON,ORAL,CLOSEUP,TOOTHPASTE,5.905139821,SMALL PACKMEDIUM PACKBIG PACK,0,5,167209430,31.33333333,0,0,0,243509248.7,0,4.614169871,5.905139821,5.905139821,4.614169871,5.905139821,26,0,0,0,0,0,0,1.29096995
202207,AEON,ORAL,CLOSEUP,TOOTHPASTE,3.26345992,BIG PACKMEDIUM PACKSMALL PACK,0,9,245202650,87,0,0,0,238221512.6,0,4.235669882,3.26345992,3.26345992,4.235669882,3.26345992,26,0,0,0,0,0,0,-0.972209962
202208,AEON,ORAL,CLOSEUP,TOOTHPASTE,4.748639871,BIG PACKMEDIUM PACKSMALL PACK,0,6,118895120,23.33333333,0,0,0,194999524.5,0,4.639079871,4.748639871,4.748639871,4.639079871,4.748639871,27,0,0,0,0,0,0,0.10956
202209,AEON,ORAL,CLOSEUP,TOOTHPASTE,3.371819904,MEDIUM PACKBIG PACKSMALL PACK,0,6,485804120,36,0,0,0,404836766.7,0,3.794639898,3.371819904,3.371819904,3.794639898,3.371819904,25,0,0,0,0,0,0,-0.422819994
202210,AEON,ORAL,CLOSEUP,TOOTHPASTE,3.407399899,BIG PACKMEDIUM PACKSMALL PACK,0,4,113122257,47.75,0,0,0,154407980.9,0,3.842619891,3.407399899,3.407399899,3.842619891,3.407399899,26,0,0,0,0,0,0,-0.435219992
202211,AEON,ORAL,CLOSEUP,TOOTHPASTE,5.805479836,SMALL PACKMEDIUM PACKBIG PACK,0,7,253748982,22,0,0,0,293430611.4,0,4.19489988,5.805479836,5.805479836,4.19489988,5.805479836,26,0,0,0,0,0,0,1.610579956
202212,AEON,ORAL,CLOSEUP,TOOTHPASTE,3.713159892,MEDIUM PACKSMALL PACKBIG PACK,0,9,134209819.5,30.25,0,0,0,134209819.5,0,4.308679876,3.713159892,3.713159892,4.308679876,3.713159892,27,0,0,0,0,0,0,-0.595519984
202301,AEON,ORAL,CLOSEUP,TOOTHPASTE,5.820239828,BIG PACKMEDIUM PACKSMALL PACK,0,9,370818633.5,253.8125,0,0,0,75282214.77,0,5.112959852,5.820239828,5.820239828,5.112959852,5.820239828,20,0,0,0,0,0,0,0.707279976
202302,AEON,ORAL,CLOSEUP,TOOTHPASTE,3.770999887,BIG PACKSMALL PACKMEDIUM PACK,0,8,293452560,32.625,0,0,0,319848844.7,0,4.434799869,3.770999887,3.770999887,4.434799869,3.770999887,24,0,0,0,0,0,0,-0.663799982
202303,AEON,ORAL,CLOSEUP,TOOTHPASTE,3.314999907,BIG PACKSMALL PACKMEDIUM PACK,0,7,132816600,42.14285714,0,0,0,214581759.8,0,4.302079874,3.314999907,3.314999907,4.302079874,3.314999907,27,0,0,0,0,0,0,-0.987079967
202304,AEON,ORAL,CLOSEUP,TOOTHPASTE,3.449039901,SMALL PACKBIG PACKMEDIUM PACK,0,9,199900386,123,0,0,0,271069979,0,3.511679898,3.449039901,3.449039901,3.511679898,3.449039901,24,0,0,0,0,0,0,-0.062639997
202305,AEON,ORAL,CLOSEUP,TOOTHPASTE,3.406679904,SMALL PACKBIG PACKMEDIUM PACK,0,8,85156934.8,35.375,0,0,0,157167819.6,0,3.390239904,3.406679904,3.406679904,3.390239904,3.406679904,25,0,0,0,0,0,0,0.01644
202306,AEON,ORAL,CLOSEUP,TOOTHPASTE,3.928439886,BIG PACKMEDIUM PACKSMALL PACK,0,8,107803175,28.625,0,0,0,151997671.6,0,3.594719897,3.928439886,3.928439886,3.594719897,3.928439886,26,0,0,0,0,0,0,0.333719989
202307,AEON,ORAL,CLOSEUP,TOOTHPASTE,5.463479834,MEDIUM PACKBIG PACKSMALL PACK,0,4,199043694,150.6666667,0,0,0,97474934.89,0,4.266199875,5.463479834,5.463479834,4.266199875,5.463479834,26,0,0,0,0,0,0,1.197279959
202308,AEON,ORAL,CLOSEUP,TOOTHPASTE,4.151039878,MEDIUM PACKBIG PACKSMALL PACK,0,7,250894309.1,39.57142857,0,0,0,285000230.5,0,4.514319866,4.151039878,4.151039878,4.514319866,4.151039878,27,0,0,0,0,0,0,-0.363279988
202309,AEON,ORAL,CLOSEUP,TOOTHPASTE,8.164319746,BIG PACKSMALL PACKMEDIUM PACK,0,5,136364319,43,0,0,0,162600734.7,0,5.926279819,8.164319746,8.041459111,5.531236454,6.979189651,24,0,0,0,0,0,0,2.510222657
202310,AEON,ORAL,CLOSEUP,TOOTHPASTE,10.72043967,MEDIUM PACKSMALL PACKBIG PACK,0,3,868280846,122.2,0,0,0,807796327.5,0,7.678599763,10.72043967,8.041459111,6.03647306,6.979189651,26,0,0,0,0,0,0,2.004986051
202311,AEON,ORAL,CLOSEUP,TOOTHPASTE,8.976119719,BIG PACKMEDIUM PACKSMALL PACK,0,7,391234903,24.42857143,0,0,0,481613299.2,0,9.28695971,8.976119719,8.041459111,6.979189651,6.979189651,26,0,0,0,0,0,0,1.06226946
202312,AEON,ORAL,CLOSEUP,TOOTHPASTE,2.369879935,SMALL PACKBIG PACKMEDIUM PACK,0,9,133824098.4,21.52380952,0,0,0,145156642.7,0,7.355479773,2.369879935,2.369879935,5.562830371,2.73011181,26,0,0,0,0,0,0,-3.192950436
202401,AEON,ORAL,CLOSEUP,TOOTHPASTE,3.920639888,BIG PACKSMALL PACKMEDIUM PACK,0,9,162430402.4,127.4285714,0,0,0,87451459.99,0,5.088879847,3.920639888,3.920639888,4.543313783,3.920639888,26,0,0,0,0,0,0,-0.622673895
202402,AEON,ORAL,CLOSEUP,TOOTHPASTE,3.116879912,SMALL PACKMEDIUM PACKBIG PACK,0,9,336555100,67.57142857,0,0,0,320276535.7,0,3.135799912,3.116879912,3.116879912,3.255877203,3.116879912,19,0,0,0,0,0,0,-0.138997291
202403,AEON,ORAL,CLOSEUP,TOOTHPASTE,2.089079943,SMALL PACKMEDIUM PACKBIG PACK,0,3,186879320,144,0,0,0,210193587.8,0,3.042199914,2.089079943,2.089079943,3.255877203,2.73011181,26,0,0,0,0,0,0,-1.16679726
202404,AEON,ORAL,CLOSEUP,TOOTHPASTE,3.368519912,SMALL PACKBIG PACKMEDIUM PACK,0,8,400590528,92.66666667,0,0,0,305649984.3,0,2.858159922,3.368519912,3.368519912,3.071837211,3.368519912,24,0,0,0,0,0,0,0.296682701
202405,AEON,ORAL,CLOSEUP,TOOTHPASTE,3.317759905,SMALL PACKMEDIUM PACKBIG PACK,0,6,225222154,34.16666667,0,0,0,341418494,0,2.92511992,3.317759905,3.317759905,3.138797209,3.317759905,26,0,0,0,0,0,0,0.178962696
202406,AEON,ORAL,CLOSEUP,TOOTHPASTE,3.156119918,SMALL PACKMEDIUM PACKBIG PACK,0,4,138223840,29,0,0,0,184911282.6,0,3.280799912,3.156119918,3.156119918,3.280799912,3.156119918,25,0,0,0,0,0,0,-0.124679994
202407,AEON,ORAL,CLOSEUP,TOOTHPASTE,5.858999837,SMALL PACKMEDIUM PACKBIG PACK,0,8,1154752420,55.33333333,0,0,0,1154752420,0,4.110959887,5.858999837,5.858999837,4.110959887,5.858999837,27,0,0,0,0,0,0,1.74803995
202408,AEON,ORAL,CLOSEUP,TOOTHPASTE,7.12655981,SMALL PACKBIG PACKMEDIUM PACK,0,8,501209570,60,0,0,0,495926929.4,0,5.380559855,7.12655981,7.12655981,5.331436469,6.979189651,27,0,0,0,0,0,0,1.795123341
202409,AEON,ORAL,CLOSEUP,TOOTHPASTE,6.205319832,SMALL PACKBIG PACKMEDIUM PACK,0,4,1943858000,67.33333333,0,0,0,1491714132,0,6.396959826,6.205319832,6.205319832,6.34783644,6.205319832,23,0,0,0,0,0,0,-0.142516608
202410,AEON,ORAL,CLOSEUP,TOOTHPASTE,3.804839905,SMALL PACKBIG PACKMEDIUM PACK,0,9,476771860,133,0,0,0,707645840,0,5.712239849,3.804839905,3.804839905,5.663116463,3.804839905,27,0,0,0,0,0,0,-1.858276558
202101,AEON,ORAL,P/S,MOUTHWASH,0.036,BIG PACK,0,0,0,0,0,0,0,0,0,0.036,0.036,0.036,0,0.439177569,25,0,0,0,0,0,0,0.036
202102,AEON,ORAL,P/S,MOUTHWASH,0.138,BIG PACK,0,0,0,0,0,0,0,0,0,0.087,0.138,0.138,0,0.439177569,19,0,0,0,0,0,0,0.138
202103,AEON,ORAL,P/S,MOUTHWASH,0.3,BIG PACK,0,0,0,0,0,0,0,0,0,0.158,0.3,0.3,0.439177569,0.439177569,27,0,0,0,0,0,0,-0.139177569
202104,AEON,ORAL,P/S,MOUTHWASH,0.312,BIG PACK,0,0,0,0,0,0,0,0,0,0.25,0.312,0.312,0.439177569,0.439177569,24,0,0,0,0,0,0,-0.127177569
202105,AEON,ORAL,P/S,MOUTHWASH,0.162,BIG PACK,0,0,0,0,0,0,0,0,0,0.258,0.258,0.258,0.439177569,0.439177569,25,0,0,0,0,0,0,-0.181177569
202106,AEON,ORAL,P/S,MOUTHWASH,1.068,BIG PACK,0,0,0,0,0,0,0,0,0,0.514,1.068,0.719316541,0.562393286,0.808824719,26,0,0,0,0,0,0,0.156923255
202107,AEON,ORAL,P/S,MOUTHWASH,0.846,BIG PACK,0,0,0,0,0,0,0,0,0,0.692,0.846,0.719316541,0.685609002,0.808824719,27,0,0,0,0,0,0,0.033707539
202108,AEON,ORAL,P/S,MOUTHWASH,0.804,BIG PACK,0,0,0,0,0,0,0,0,0,0.906,0.804,0.719316541,0.807216479,0.804,26,0,0,0,0,0,0,-0.087899938
202109,AEON,ORAL,P/S,MOUTHWASH,0.858,BIG PACK,0,0,0,0,0,0,0,0,0,0.836,0.858,0.719316541,0.807216479,0.808824719,25,0,0,0,0,0,0,-0.087899938
202110,AEON,ORAL,P/S,MOUTHWASH,0.597600006,BIG PACKSMALL PACK,0,0,0,0,0,0,0,0,0,0.753200002,0.597600006,0.597600006,0.736808242,0.597600006,26,0,0,0,0,0,0,-0.139208236
202111,AEON,ORAL,P/S,MOUTHWASH,0.610200004,BIG PACKSMALL PACK,0,0,0,0,0,0,0,0,0,0.688600003,0.610200004,0.610200004,0.672208243,0.610200004,26,0,0,0,0,0,0,-0.062008239
202112,AEON,ORAL,P/S,MOUTHWASH,0.392400003,SMALL PACKBIG PACK,0,0,0,0,0,0,0,0,0,0.533400004,0.533400004,0.533400004,0.632133338,0.688600003,27,0,0,0,0,0,0,-0.098733334
202201,AEON,ORAL,P/S,MOUTHWASH,0.80580001,BIG PACKSMALL PACK,0,4,114350588.2,35,0,0,0,114350588.2,0,0.602800006,0.80580001,0.719316541,0.701533339,0.80580001,22,0,0,0,0,0,0,0.017783202
202202,AEON,ORAL,P/S,MOUTHWASH,0.714,BIG PACK,0,2,100033016,37,0,0,0,75700660.76,0,0.637400004,0.714,0.714,0.736133338,0.714,19,0,0,0,0,0,0,-0.022133338
202203,AEON,ORAL,P/S,MOUTHWASH,0.396,BIG PACK,0,0,0,0,0,0,0,24332355.24,0,0.638600003,0.638600003,0.638600003,0.751977783,0.736133338,27,0,0,0,0,0,0,-0.11337778
202204,AEON,ORAL,P/S,MOUTHWASH,0.354,BIG PACK,0,3,75103588,49,0,0,0,45981788.57,0,0.488,0.488,0.488,0.73403704,0.751977783,24,0,0,0,0,0,0,-0.24603704
202205,AEON,ORAL,P/S,MOUTHWASH,0.342,BIG PACK,0,2,77106340,35,0,0,0,97415986.29,0,0.364,0.364,0.364,0.740716054,0.73403704,25,0,0,0,0,0,0,-0.376716054
202206,AEON,ORAL,P/S,MOUTHWASH,0.3,BIG PACK,0,3,49840750,26,0,0,0,58652903.14,0,0.332,0.332,0.332,0.742243625,0.740716053,26,0,0,0,0,0,0,-0.410243625
